region,country,sex,age,suicides_no,population,suicidal_perc,country-year, gdp_for_year,gdp_per_capita,generation
Africa,Mauritius,female,15-24 years,7,94082,7.44,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,female,25-34 years,10,86613,11.55,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,female,35-54 years,5,177447,2.82,Mauritius2015,"-1,192,614,822",10125,Generation X
Africa,Mauritius,female,5-14 years,0,83838,0,Mauritius2015,"-1,192,614,822",10125,Generation Z
Africa,Mauritius,female,55-74 years,4,116373,3.44,Mauritius2015,"-1,192,614,822",10125,Boomers
Africa,Mauritius,female,75+ years,0,25820,0,Mauritius2015,"-1,192,614,822",10125,Silent
Africa,Mauritius,male,15-24 years,14,96489,14.51,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,male,25-34 years,16,88362,18.11,Mauritius2015,"-1,192,614,822",10125,Millenials
Africa,Mauritius,male,35-54 years,37,180202,20.53,Mauritius2015,"-1,192,614,822",10125,Generation X
Africa,Mauritius,male,5-14 years,0,86385,0,Mauritius2015,"-1,192,614,822",10125,Generation Z
Africa,Mauritius,male,55-74 years,9,103727,8.68,Mauritius2015,"-1,192,614,822",10125,Boomers
Africa,Mauritius,male,75+ years,2,15510,12.89,Mauritius2015,"-1,192,614,822",10125,Silent
Africa,Seychelles,female,15-24 years,1,5957,16.79,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,female,25-34 years,0,7204,0,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,female,35-54 years,0,14823,0,Seychelles2015,"1,375,604,279",16005,Generation X
Africa,Seychelles,female,5-14 years,0,6271,0,Seychelles2015,"1,375,604,279",16005,Generation Z
Africa,Seychelles,female,55-74 years,0,7198,0,Seychelles2015,"1,375,604,279",16005,Boomers
Africa,Seychelles,female,75+ years,0,2025,0,Seychelles2015,"1,375,604,279",16005,Silent
Africa,Seychelles,male,15-24 years,1,6393,15.64,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,male,25-34 years,1,7565,13.22,Seychelles2015,"1,375,604,279",16005,Millenials
Africa,Seychelles,male,35-54 years,3,14210,21.11,Seychelles2015,"1,375,604,279",16005,Generation X
Africa,Seychelles,male,5-14 years,0,6324,0,Seychelles2015,"1,375,604,279",16005,Generation Z
Africa,Seychelles,male,55-74 years,1,6903,14.49,Seychelles2015,"1,375,604,279",16005,Boomers
Africa,Seychelles,male,75+ years,0,1076,0,Seychelles2015,"1,375,604,279",16005,Silent
Africa,South Africa,female,15-24 years,34,5105930,0.67,South Africa2015,"-86,540,706",6403,Millenials
Africa,South Africa,female,25-34 years,27,4822164,0.56,South Africa2015,"-86,540,706",6403,Millenials
Africa,South Africa,female,35-54 years,26,6396045,0.41,South Africa2015,"-86,540,706",6403,Generation X
Africa,South Africa,female,5-14 years,6,5243427,0.11,South Africa2015,"-86,540,706",6403,Generation Z
Africa,South Africa,female,55-74 years,10,3155486,0.32,South Africa2015,"-86,540,706",6403,Boomers
Africa,South Africa,female,75+ years,2,615701,0.32,South Africa2015,"-86,540,706",6403,Silent
Africa,South Africa,male,15-24 years,90,5190482,1.73,South Africa2015,"-86,540,706",6403,Millenials
Africa,South Africa,male,25-34 years,126,5001052,2.52,South Africa2015,"-86,540,706",6403,Millenials
Africa,South Africa,male,35-54 years,101,6066751,1.66,South Africa2015,"-86,540,706",6403,Generation X
Africa,South Africa,male,5-14 years,11,5318168,0.21,South Africa2015,"-86,540,706",6403,Generation Z
Africa,South Africa,male,55-74 years,41,2426511,1.69,South Africa2015,"-86,540,706",6403,Boomers
Africa,South Africa,male,75+ years,8,285743,2.8,South Africa2015,"-86,540,706",6403,Silent
Asia,Israel,female,15-24 years,8,617440,1.3,Israel2015,"-1,553,871,030",39793,Millenials
Asia,Israel,female,25-34 years,13,581972,2.23,Israel2015,"-1,553,871,030",39793,Millenials
Asia,Israel,female,35-54 years,20,967412,2.07,Israel2015,"-1,553,871,030",39793,Generation X
Asia,Israel,female,5-14 years,1,733603,0.14,Israel2015,"-1,553,871,030",39793,Generation Z
Asia,Israel,female,55-74 years,17,664823,2.56,Israel2015,"-1,553,871,030",39793,Boomers
Asia,Israel,female,75+ years,14,241083,5.81,Israel2015,"-1,553,871,030",39793,Silent
Asia,Israel,male,15-24 years,35,644674,5.43,Israel2015,"-1,553,871,030",39793,Millenials
Asia,Israel,male,25-34 years,45,586251,7.68,Israel2015,"-1,553,871,030",39793,Millenials
Asia,Israel,male,35-54 years,92,944406,9.74,Israel2015,"-1,553,871,030",39793,Generation X
Asia,Israel,male,5-14 years,2,770443,0.26,Israel2015,"-1,553,871,030",39793,Generation Z
Asia,Israel,male,55-74 years,65,595247,10.92,Israel2015,"-1,553,871,030",39793,Boomers
Asia,Israel,male,75+ years,30,168826,17.77,Israel2015,"-1,553,871,030",39793,Silent
Asia,Japan,female,15-24 years,408,5772938,7.07,Japan2015,"1,226,209,070",36510,Millenials
Asia,Japan,female,25-34 years,685,6614211,10.36,Japan2015,"1,226,209,070",36510,Millenials
Asia,Japan,female,35-54 years,2024,16991218,11.91,Japan2015,"1,226,209,070",36510,Generation X
Asia,Japan,female,5-14 years,28,5287719,0.53,Japan2015,"1,226,209,070",36510,Generation Z
Asia,Japan,female,55-74 years,2292,17232482,13.3,Japan2015,"1,226,209,070",36510,Boomers
Asia,Japan,female,75+ years,1509,9983066,15.12,Japan2015,"1,226,209,070",36510,Silent
Asia,Japan,male,15-24 years,1091,6088330,17.92,Japan2015,"1,226,209,070",36510,Millenials
Asia,Japan,male,25-34 years,1948,6862886,28.38,Japan2015,"1,226,209,070",36510,Millenials
Asia,Japan,male,35-54 years,5507,17461022,31.54,Japan2015,"1,226,209,070",36510,Generation X
Asia,Japan,male,5-14 years,62,5553851,1.12,Japan2015,"1,226,209,070",36510,Generation Z
Asia,Japan,male,55-74 years,5241,16239222,32.27,Japan2015,"1,226,209,070",36510,Boomers
Asia,Japan,male,75+ years,2297,6289365,36.52,Japan2015,"1,226,209,070",36510,Silent
Asia,Kazakhstan,female,15-24 years,127,1285407,9.88,Kazakhstan2015,"-295,161,579",11784,Millenials
Asia,Kazakhstan,female,25-34 years,108,1524321,7.09,Kazakhstan2015,"-295,161,579",11784,Millenials
Asia,Kazakhstan,female,35-54 years,175,2313458,7.56,Kazakhstan2015,"-295,161,579",11784,Generation X
Asia,Kazakhstan,female,5-14 years,13,1370388,0.95,Kazakhstan2015,"-295,161,579",11784,Generation Z
Asia,Kazakhstan,female,55-74 years,65,1306669,4.97,Kazakhstan2015,"-295,161,579",11784,Boomers
Asia,Kazakhstan,female,75+ years,42,343577,12.22,Kazakhstan2015,"-295,161,579",11784,Silent
Asia,Kazakhstan,male,15-24 years,312,1326082,23.53,Kazakhstan2015,"-295,161,579",11784,Millenials
Asia,Kazakhstan,male,25-34 years,603,1492576,40.4,Kazakhstan2015,"-295,161,579",11784,Millenials
Asia,Kazakhstan,male,35-54 years,962,2130654,45.15,Kazakhstan2015,"-295,161,579",11784,Generation X
Asia,Kazakhstan,male,5-14 years,30,1445862,2.07,Kazakhstan2015,"-295,161,579",11784,Generation Z
Asia,Kazakhstan,male,55-74 years,363,951365,38.16,Kazakhstan2015,"-295,161,579",11784,Boomers
Asia,Kazakhstan,male,75+ years,72,156393,46.04,Kazakhstan2015,"-295,161,579",11784,Silent
Asia,Kyrgyzstan,female,15-24 years,35,537476,6.51,Kyrgyzstan2015,"-1,911,756,252",1285,Millenials
Asia,Kyrgyzstan,female,25-34 years,12,509797,2.35,Kyrgyzstan2015,"-1,911,756,252",1285,Millenials
Asia,Kyrgyzstan,female,35-54 years,25,669556,3.73,Kyrgyzstan2015,"-1,911,756,252",1285,Generation X
Asia,Kyrgyzstan,female,5-14 years,7,547463,1.28,Kyrgyzstan2015,"-1,911,756,252",1285,Generation Z
Asia,Kyrgyzstan,female,55-74 years,7,301107,2.32,Kyrgyzstan2015,"-1,911,756,252",1285,Boomers
Asia,Kyrgyzstan,female,75+ years,4,72276,5.53,Kyrgyzstan2015,"-1,911,756,252",1285,Silent
Asia,Kyrgyzstan,male,15-24 years,65,557006,11.67,Kyrgyzstan2015,"-1,911,756,252",1285,Millenials
Asia,Kyrgyzstan,male,25-34 years,68,513358,13.25,Kyrgyzstan2015,"-1,911,756,252",1285,Millenials
Asia,Kyrgyzstan,male,35-54 years,134,635515,21.09,Kyrgyzstan2015,"-1,911,756,252",1285,Generation X
Asia,Kyrgyzstan,male,5-14 years,18,569962,3.16,Kyrgyzstan2015,"-1,911,756,252",1285,Generation Z
Asia,Kyrgyzstan,male,55-74 years,37,241078,15.35,Kyrgyzstan2015,"-1,911,756,252",1285,Boomers
Asia,Kyrgyzstan,male,75+ years,5,41233,12.13,Kyrgyzstan2015,"-1,911,756,252",1285,Silent
Asia,Qatar,female,15-24 years,2,85120,2.35,Qatar2015,"1,432,726,268",69937,Millenials
Asia,Qatar,female,25-34 years,2,162310,1.23,Qatar2015,"1,432,726,268",69937,Millenials
Asia,Qatar,female,35-54 years,5,169638,2.95,Qatar2015,"1,432,726,268",69937,Generation X
Asia,Qatar,female,5-14 years,0,104727,0,Qatar2015,"1,432,726,268",69937,Generation Z
Asia,Qatar,female,55-74 years,0,23389,0,Qatar2015,"1,432,726,268",69937,Boomers
Asia,Qatar,female,75+ years,0,2996,0,Qatar2015,"1,432,726,268",69937,Silent
Asia,Qatar,male,15-24 years,13,277494,4.68,Qatar2015,"1,432,726,268",69937,Millenials
Asia,Qatar,male,25-34 years,20,672458,2.97,Qatar2015,"1,432,726,268",69937,Millenials
Asia,Qatar,male,35-54 years,23,651297,3.53,Qatar2015,"1,432,726,268",69937,Generation X
Asia,Qatar,male,5-14 years,0,110987,0,Qatar2015,"1,432,726,268",69937,Generation Z
Asia,Qatar,male,55-74 years,1,88140,1.13,Qatar2015,"1,432,726,268",69937,Boomers
Asia,Qatar,male,75+ years,0,5591,0,Qatar2015,"1,432,726,268",69937,Silent
Asia,Russian Federation,female,15-24 years,378,7653174,4.94,Russian Federation2015,"-1,693,861,933",9987,Millenials
Asia,Russian Federation,female,25-34 years,730,12264840,5.95,Russian Federation2015,"-1,693,861,933",9987,Millenials
Asia,Russian Federation,female,35-54 years,1391,21387236,6.5,Russian Federation2015,"-1,693,861,933",9987,Generation X
Asia,Russian Federation,female,5-14 years,57,7464309,0.76,Russian Federation2015,"-1,693,861,933",9987,Generation Z
Asia,Russian Federation,female,55-74 years,1062,18280577,5.81,Russian Federation2015,"-1,693,861,933",9987,Boomers
Asia,Russian Federation,female,75+ years,953,6957819,13.7,Russian Federation2015,"-1,693,861,933",9987,Silent
Asia,Russian Federation,male,15-24 years,1928,7995706,24.11,Russian Federation2015,"-1,693,861,933",9987,Millenials
Asia,Russian Federation,male,25-34 years,4994,12407057,40.25,Russian Federation2015,"-1,693,861,933",9987,Millenials
Asia,Russian Federation,male,35-54 years,7898,19598084,40.3,Russian Federation2015,"-1,693,861,933",9987,Generation X
Asia,Russian Federation,male,5-14 years,79,7836667,1.01,Russian Federation2015,"-1,693,861,933",9987,Generation Z
Asia,Russian Federation,male,55-74 years,4443,12564884,35.36,Russian Federation2015,"-1,693,861,933",9987,Boomers
Asia,Russian Federation,male,75+ years,1519,2608590,58.23,Russian Federation2015,"-1,693,861,933",9987,Silent
Asia,Singapore,female,15-24 years,15,249249,6.02,Singapore2015,"-844,918,342",81766,Millenials
Asia,Singapore,female,25-34 years,18,291298,6.18,Singapore2015,"-844,918,342",81766,Millenials
Asia,Singapore,female,35-54 years,36,629999,5.71,Singapore2015,"-844,918,342",81766,Generation X
Asia,Singapore,female,5-14 years,1,205578,0.49,Singapore2015,"-844,918,342",81766,Generation Z
Asia,Singapore,female,55-74 years,28,416616,6.72,Singapore2015,"-844,918,342",81766,Boomers
Asia,Singapore,female,75+ years,13,103599,12.55,Singapore2015,"-844,918,342",81766,Silent
Asia,Singapore,male,15-24 years,19,257780,7.37,Singapore2015,"-844,918,342",81766,Millenials
Asia,Singapore,male,25-34 years,30,270351,11.1,Singapore2015,"-844,918,342",81766,Millenials
Asia,Singapore,male,35-54 years,79,606327,13.03,Singapore2015,"-844,918,342",81766,Generation X
Asia,Singapore,male,5-14 years,2,213262,0.94,Singapore2015,"-844,918,342",81766,Generation Z
Asia,Singapore,male,55-74 years,73,403996,18.07,Singapore2015,"-844,918,342",81766,Boomers
Asia,Singapore,male,75+ years,15,71060,21.11,Singapore2015,"-844,918,342",81766,Silent
Asia,Thailand,female,15-24 years,55,4632371,1.19,Thailand2015,"1,967,463,915",6552,Millenials
Asia,Thailand,female,25-34 years,96,4783703,2.01,Thailand2015,"1,967,463,915",6552,Millenials
Asia,Thailand,female,35-54 years,363,10646859,3.41,Thailand2015,"1,967,463,915",6552,Generation X
Asia,Thailand,female,5-14 years,14,3881727,0.36,Thailand2015,"1,967,463,915",6552,Generation Z
Asia,Thailand,female,55-74 years,248,5795996,4.28,Thailand2015,"1,967,463,915",6552,Boomers
Asia,Thailand,female,75+ years,63,1527522,4.12,Thailand2015,"1,967,463,915",6552,Silent
Asia,Thailand,male,15-24 years,317,4847684,6.54,Thailand2015,"1,967,463,915",6552,Millenials
Asia,Thailand,male,25-34 years,663,4873464,13.6,Thailand2015,"1,967,463,915",6552,Millenials
Asia,Thailand,male,35-54 years,1482,10101149,14.67,Thailand2015,"1,967,463,915",6552,Generation X
Asia,Thailand,male,5-14 years,12,4111704,0.29,Thailand2015,"1,967,463,915",6552,Generation Z
Asia,Thailand,male,55-74 years,718,4990958,14.39,Thailand2015,"1,967,463,915",6552,Boomers
Asia,Thailand,male,75+ years,174,1068139,16.29,Thailand2015,"1,967,463,915",6552,Silent
Asia,Turkey,female,15-24 years,131,6267398,2.09,Turkey2015,"803,413,594",11961,Millenials
Asia,Turkey,female,25-34 years,72,6288287,1.14,Turkey2015,"803,413,594",11961,Millenials
Asia,Turkey,female,35-54 years,109,10293526,1.06,Turkey2015,"803,413,594",11961,Generation X
Asia,Turkey,female,5-14 years,18,6100840,0.3,Turkey2015,"803,413,594",11961,Generation Z
Asia,Turkey,female,55-74 years,42,5456986,0.77,Turkey2015,"803,413,594",11961,Boomers
Asia,Turkey,female,75+ years,25,1479388,1.69,Turkey2015,"803,413,594",11961,Silent
Asia,Turkey,male,15-24 years,207,6573627,3.15,Turkey2015,"803,413,594",11961,Millenials
Asia,Turkey,male,25-34 years,241,6452161,3.74,Turkey2015,"803,413,594",11961,Millenials
Asia,Turkey,male,35-54 years,385,10466600,3.68,Turkey2015,"803,413,594",11961,Generation X
Asia,Turkey,male,5-14 years,18,6435462,0.28,Turkey2015,"803,413,594",11961,Generation Z
Asia,Turkey,male,55-74 years,223,5079228,4.39,Turkey2015,"803,413,594",11961,Boomers
Asia,Turkey,male,75+ years,61,986961,6.18,Turkey2015,"803,413,594",11961,Silent
Asia,Turkmenistan,female,15-24 years,21,505233,4.16,Turkmenistan2015,"1,439,890,203",7326,Millenials
Asia,Turkmenistan,female,25-34 years,11,487637,2.26,Turkmenistan2015,"1,439,890,203",7326,Millenials
Asia,Turkmenistan,female,35-54 years,5,657432,0.76,Turkmenistan2015,"1,439,890,203",7326,Generation X
Asia,Turkmenistan,female,5-14 years,0,501611,0,Turkmenistan2015,"1,439,890,203",7326,Generation Z
Asia,Turkmenistan,female,55-74 years,3,280211,1.07,Turkmenistan2015,"1,439,890,203",7326,Boomers
Asia,Turkmenistan,female,75+ years,1,58753,1.7,Turkmenistan2015,"1,439,890,203",7326,Silent
Asia,Turkmenistan,male,15-24 years,31,515349,6.02,Turkmenistan2015,"1,439,890,203",7326,Millenials
Asia,Turkmenistan,male,25-34 years,15,484397,3.1,Turkmenistan2015,"1,439,890,203",7326,Millenials
Asia,Turkmenistan,male,35-54 years,38,620958,6.12,Turkmenistan2015,"1,439,890,203",7326,Generation X
Asia,Turkmenistan,male,5-14 years,1,513926,0.19,Turkmenistan2015,"1,439,890,203",7326,Generation Z
Asia,Turkmenistan,male,55-74 years,7,225820,3.1,Turkmenistan2015,"1,439,890,203",7326,Boomers
Asia,Turkmenistan,male,75+ years,0,35187,0,Turkmenistan2015,"1,439,890,203",7326,Silent
Europe,Armenia,female,15-24 years,3,212010,1.42,Armenia2015,"1,963,403,081",3775,Millenials
Europe,Armenia,female,25-34 years,2,274108,0.73,Armenia2015,"1,963,403,081",3775,Millenials
Europe,Armenia,female,35-54 years,4,412360,0.97,Armenia2015,"1,963,403,081",3775,Generation X
Europe,Armenia,female,5-14 years,0,175417,0,Armenia2015,"1,963,403,081",3775,Generation Z
Europe,Armenia,female,55-74 years,5,297936,1.68,Armenia2015,"1,963,403,081",3775,Boomers
Europe,Armenia,female,75+ years,5,100754,4.96,Armenia2015,"1,963,403,081",3775,Silent
Europe,Armenia,male,15-24 years,2,216876,0.92,Armenia2015,"1,963,403,081",3775,Millenials
Europe,Armenia,male,25-34 years,10,255540,3.91,Armenia2015,"1,963,403,081",3775,Millenials
Europe,Armenia,male,35-54 years,15,356715,4.21,Armenia2015,"1,963,403,081",3775,Generation X
Europe,Armenia,male,5-14 years,0,201051,0,Armenia2015,"1,963,403,081",3775,Generation Z
Europe,Armenia,male,55-74 years,16,231213,6.92,Armenia2015,"1,963,403,081",3775,Boomers
Europe,Armenia,male,75+ years,12,61355,19.56,Armenia2015,"1,963,403,081",3775,Silent
Europe,Austria,female,15-24 years,19,490742,3.87,Austria2015,"-186,159,036",46484,Millenials
Europe,Austria,female,25-34 years,21,576661,3.64,Austria2015,"-186,159,036",46484,Millenials
Europe,Austria,female,35-54 years,79,1273034,6.21,Austria2015,"-186,159,036",46484,Generation X
Europe,Austria,female,5-14 years,1,400831,0.25,Austria2015,"-186,159,036",46484,Generation Z
Europe,Austria,female,55-74 years,100,998854,10.01,Austria2015,"-186,159,036",46484,Boomers
Europe,Austria,female,75+ years,70,461676,15.16,Austria2015,"-186,159,036",46484,Silent
Europe,Austria,male,15-24 years,61,519646,11.74,Austria2015,"-186,159,036",46484,Millenials
Europe,Austria,male,25-34 years,78,590968,13.2,Austria2015,"-186,159,036",46484,Millenials
Europe,Austria,male,35-54 years,313,1279822,24.46,Austria2015,"-186,159,036",46484,Generation X
Europe,Austria,male,5-14 years,1,421708,0.24,Austria2015,"-186,159,036",46484,Generation Z
Europe,Austria,male,55-74 years,294,915115,32.13,Austria2015,"-186,159,036",46484,Boomers
Europe,Austria,male,75+ years,214,290329,73.71,Austria2015,"-186,159,036",46484,Silent
Europe,Belgium,female,15-24 years,21,649587,3.23,Belgium2015,"-226,970,243",42830,Millenials
Europe,Belgium,female,25-34 years,45,726357,6.2,Belgium2015,"-226,970,243",42830,Millenials
Europe,Belgium,female,35-54 years,221,1534727,14.4,Belgium2015,"-226,970,243",42830,Generation X
Europe,Belgium,female,5-14 years,2,622189,0.32,Belgium2015,"-226,970,243",42830,Generation Z
Europe,Belgium,female,55-74 years,176,1262327,13.94,Belgium2015,"-226,970,243",42830,Boomers
Europe,Belgium,female,75+ years,87,616201,14.12,Belgium2015,"-226,970,243",42830,Silent
Europe,Belgium,male,15-24 years,93,671971,13.84,Belgium2015,"-226,970,243",42830,Millenials
Europe,Belgium,male,25-34 years,161,728873,22.09,Belgium2015,"-226,970,243",42830,Millenials
Europe,Belgium,male,35-54 years,529,1567729,33.74,Belgium2015,"-226,970,243",42830,Generation X
Europe,Belgium,male,5-14 years,2,651450,0.31,Belgium2015,"-226,970,243",42830,Generation Z
Europe,Belgium,male,55-74 years,353,1200170,29.41,Belgium2015,"-226,970,243",42830,Boomers
Europe,Belgium,male,75+ years,177,392775,45.06,Belgium2015,"-226,970,243",42830,Silent
Europe,Croatia,female,15-24 years,6,236301,2.54,Croatia2015,"-2,114,093,941",12351,Millenials
Europe,Croatia,female,25-34 years,7,271005,2.58,Croatia2015,"-2,114,093,941",12351,Millenials
Europe,Croatia,female,35-54 years,51,576262,8.85,Croatia2015,"-2,114,093,941",12351,Generation X
Europe,Croatia,female,5-14 years,2,201507,0.99,Croatia2015,"-2,114,093,941",12351,Generation Z
Europe,Croatia,female,55-74 years,75,548940,13.66,Croatia2015,"-2,114,093,941",12351,Boomers
Europe,Croatia,female,75+ years,56,243369,23.01,Croatia2015,"-2,114,093,941",12351,Silent
Europe,Croatia,male,15-24 years,34,247562,13.73,Croatia2015,"-2,114,093,941",12351,Millenials
Europe,Croatia,male,25-34 years,41,280212,14.63,Croatia2015,"-2,114,093,941",12351,Millenials
Europe,Croatia,male,35-54 years,155,575410,26.94,Croatia2015,"-2,114,093,941",12351,Generation X
Europe,Croatia,male,5-14 years,1,212625,0.47,Croatia2015,"-2,114,093,941",12351,Generation Z
Europe,Croatia,male,55-74 years,207,476580,43.43,Croatia2015,"-2,114,093,941",12351,Boomers
Europe,Croatia,male,75+ years,104,131896,78.85,Croatia2015,"-2,114,093,941",12351,Silent
Europe,Cyprus,female,15-24 years,1,58123,1.72,Cyprus2015,"-1,798,669,240",24718,Millenials
Europe,Cyprus,female,25-34 years,2,70765,2.83,Cyprus2015,"-1,798,669,240",24718,Millenials
Europe,Cyprus,female,35-54 years,3,118975,2.52,Cyprus2015,"-1,798,669,240",24718,Generation X
Europe,Cyprus,female,5-14 years,0,44693,0,Cyprus2015,"-1,798,669,240",24718,Generation Z
Europe,Cyprus,female,55-74 years,3,87902,3.41,Cyprus2015,"-1,798,669,240",24718,Boomers
Europe,Cyprus,female,75+ years,0,29924,0,Cyprus2015,"-1,798,669,240",24718,Silent
Europe,Cyprus,male,15-24 years,5,58308,8.58,Cyprus2015,"-1,798,669,240",24718,Millenials
Europe,Cyprus,male,25-34 years,7,67482,10.37,Cyprus2015,"-1,798,669,240",24718,Millenials
Europe,Cyprus,male,35-54 years,10,106371,9.4,Cyprus2015,"-1,798,669,240",24718,Generation X
Europe,Cyprus,male,5-14 years,0,46906,0,Cyprus2015,"-1,798,669,240",24718,Generation Z
Europe,Cyprus,male,55-74 years,9,83627,10.76,Cyprus2015,"-1,798,669,240",24718,Boomers
Europe,Cyprus,male,75+ years,0,22961,0,Cyprus2015,"-1,798,669,240",24718,Silent
Europe,Denmark,female,15-24 years,6,356882,1.68,Denmark2015,"650,754,141",55972,Millenials
Europe,Denmark,female,25-34 years,15,331400,4.53,Denmark2015,"650,754,141",55972,Millenials
Europe,Denmark,female,35-54 years,51,772844,6.6,Denmark2015,"650,754,141",55972,Generation X
Europe,Denmark,female,5-14 years,3,323821,0.93,Denmark2015,"650,754,141",55972,Generation Z
Europe,Denmark,female,55-74 years,67,673655,9.95,Denmark2015,"650,754,141",55972,Boomers
Europe,Denmark,female,75+ years,32,253300,12.63,Denmark2015,"650,754,141",55972,Silent
Europe,Denmark,male,15-24 years,18,374051,4.81,Denmark2015,"650,754,141",55972,Millenials
Europe,Denmark,male,25-34 years,30,342769,8.75,Denmark2015,"650,754,141",55972,Millenials
Europe,Denmark,male,35-54 years,159,783366,20.3,Denmark2015,"650,754,141",55972,Generation X
Europe,Denmark,male,5-14 years,0,340483,0,Denmark2015,"650,754,141",55972,Generation Z
Europe,Denmark,male,55-74 years,126,651856,19.33,Denmark2015,"650,754,141",55972,Boomers
Europe,Denmark,male,75+ years,57,178633,31.91,Denmark2015,"650,754,141",55972,Silent
Europe,Estonia,female,15-24 years,1,66216,1.51,Estonia2015,"1,092,120,502",18149,Millenials
Europe,Estonia,female,25-34 years,2,92783,2.16,Estonia2015,"1,092,120,502",18149,Millenials
